embedder,gold,pred,count
sentence-transformers/all-mpnet-base-v2,OUT_OF_SCOPE,OUT_OF_SCOPE,41
sentence-transformers/all-mpnet-base-v2,OUT_OF_SCOPE,absence,0
sentence-transformers/all-mpnet-base-v2,OUT_OF_SCOPE,cost_estimation,0
sentence-transformers/all-mpnet-base-v2,OUT_OF_SCOPE,tdo_drafting,0
sentence-transformers/all-mpnet-base-v2,absence,OUT_OF_SCOPE,0
sentence-transformers/all-mpnet-base-v2,absence,absence,544
sentence-transformers/all-mpnet-base-v2,absence,cost_estimation,0
sentence-transformers/all-mpnet-base-v2,absence,tdo_drafting,0
sentence-transformers/all-mpnet-base-v2,cost_estimation,OUT_OF_SCOPE,1
sentence-transformers/all-mpnet-base-v2,cost_estimation,absence,0
sentence-transformers/all-mpnet-base-v2,cost_estimation,cost_estimation,132
sentence-transformers/all-mpnet-base-v2,cost_estimation,tdo_drafting,1
sentence-transformers/all-mpnet-base-v2,tdo_drafting,OUT_OF_SCOPE,0
sentence-transformers/all-mpnet-base-v2,tdo_drafting,absence,0
sentence-transformers/all-mpnet-base-v2,tdo_drafting,cost_estimation,0
sentence-transformers/all-mpnet-base-v2,tdo_drafting,tdo_drafting,103
intfloat/e5-base-v2,OUT_OF_SCOPE,OUT_OF_SCOPE,37
intfloat/e5-base-v2,OUT_OF_SCOPE,absence,4
intfloat/e5-base-v2,OUT_OF_SCOPE,cost_estimation,0
intfloat/e5-base-v2,OUT_OF_SCOPE,tdo_drafting,0
intfloat/e5-base-v2,absence,OUT_OF_SCOPE,1
intfloat/e5-base-v2,absence,absence,543
intfloat/e5-base-v2,absence,cost_estimation,0
intfloat/e5-base-v2,absence,tdo_drafting,0
intfloat/e5-base-v2,cost_estimation,OUT_OF_SCOPE,0
intfloat/e5-base-v2,cost_estimation,absence,0
intfloat/e5-base-v2,cost_estimation,cost_estimation,133
intfloat/e5-base-v2,cost_estimation,tdo_drafting,1
intfloat/e5-base-v2,tdo_drafting,OUT_OF_SCOPE,0
intfloat/e5-base-v2,tdo_drafting,absence,0
intfloat/e5-base-v2,tdo_drafting,cost_estimation,1
intfloat/e5-base-v2,tdo_drafting,tdo_drafting,102
sentence-transformers/all-MiniLM-L12-v2,OUT_OF_SCOPE,OUT_OF_SCOPE,39
sentence-transformers/all-MiniLM-L12-v2,OUT_OF_SCOPE,absence,2
sentence-transformers/all-MiniLM-L12-v2,OUT_OF_SCOPE,cost_estimation,0
sentence-transformers/all-MiniLM-L12-v2,OUT_OF_SCOPE,tdo_drafting,0
sentence-transformers/all-MiniLM-L12-v2,absence,OUT_OF_SCOPE,1
sentence-transformers/all-MiniLM-L12-v2,absence,absence,543
sentence-transformers/all-MiniLM-L12-v2,absence,cost_estimation,0
sentence-transformers/all-MiniLM-L12-v2,absence,tdo_drafting,0
sentence-transformers/all-MiniLM-L12-v2,cost_estimation,OUT_OF_SCOPE,1
sentence-transformers/all-MiniLM-L12-v2,cost_estimation,absence,0
sentence-transformers/all-MiniLM-L12-v2,cost_estimation,cost_estimation,132
sentence-transformers/all-MiniLM-L12-v2,cost_estimation,tdo_drafting,1
sentence-transformers/all-MiniLM-L12-v2,tdo_drafting,OUT_OF_SCOPE,0
sentence-transformers/all-MiniLM-L12-v2,tdo_drafting,absence,0
sentence-transformers/all-MiniLM-L12-v2,tdo_drafting,cost_estimation,0
sentence-transformers/all-MiniLM-L12-v2,tdo_drafting,tdo_drafting,103
